,,,,,,,,,,
Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
2024,CALIFORNIA,"FLOUNDER, STARRY",,,,Confidential,Commercial,Platichthys stellatus,172893,PACFIN
2024,CALIFORNIA,"FLOUNDER, STARRY","9,742",4,"9,657",Public,Commercial,Platichthys stellatus,172893,PACFIN
2024,CALIFORNIA,"FLOUNDER,PACIFIC,SANDDAB",,,,Confidential,Commercial,Citharichthys sordidus,172716,PACFIN
2024,CALIFORNIA,"FLOUNDERS, RIGHTEYE **",15,0,43,Public,Commercial,Pleuronectidae,172859,PACFIN
2024,CALIFORNIA,"GREENLING, KELP","3,741",2,"27,913",Public,Commercial,Hexagrammos decagrammus,167110,PACFIN
2024,CALIFORNIA,GREENLINGS **,452,0,"2,921",Public,Commercial,Hexagrammidae,167108,PACFIN
2024,CALIFORNIA,GRENADIERS **,"56,739",26,"19,616",Public,Commercial,Macrouridae,165332,PACFIN
2024,CALIFORNIA,"HAGFISH, PACIFIC","1,371,189",622,"1,503,109",Public,Commercial,Eptatretus stoutii,622244,PACFIN
2024,CALIFORNIA,"HAKE, PACIFIC (WHITING)","1,321",1,628,Public,Commercial,Merluccius productus,164792,PACFIN
2024,CALIFORNIA,"HALIBUT, CALIFORNIA","1,028,436",466,"5,755,550",Public,Commercial,Paralichthys californicus,172743,PACFIN
2024,CALIFORNIA,"HALIBUT, PACIFIC","18,696",8,"80,559",Public,Commercial,Hippoglossus stenolepis,172932,PACFIN
2024,CALIFORNIA,"HERRING, PACIFIC","2,484",1,3,Public,Commercial,Clupea pallasii,551209,PACFIN
2024,CALIFORNIA,"HERRING, ROUND",,,,Confidential,Commercial,Etrumeus teres,161743,PACFIN
2024,CALIFORNIA,JACK MACKEREL,"132,347",60,"145,091",Public,Commercial,Trachurus symmetricus,168586,PACFIN
2024,CALIFORNIA,"JACK, YELLOWTAIL","33,480",15,"138,524",Public,Commercial,Seriola lalandi,168695,PACFIN
2024,CALIFORNIA,LINGCOD,"236,666",107,"361,244",Public,Commercial,Ophiodon elongatus,167116,PACFIN
2024,CALIFORNIA,"LOBSTER, CALIFORNIA SPINY","1,080,861",490,"20,897,875",Public,Commercial,Panulirus interruptus,97650,PACFIN
2024,CALIFORNIA,LOUVAR,248,0,"2,785",Public,Commercial,Luvarus imperialis,172485,PACFIN
2024,CALIFORNIA,"MACKEREL, CHUB","3,056,308","1,386","800,902",Public,Commercial,Scomber japonicus,172412,PACFIN
